Date,Open,High,Low,Close,Adj Close,Volume
2015-05-08,548.450012,565.000000,543.250000,558.000000,433.972198,62684
2015-05-11,560.900024,569.950012,552.000000,556.000000,432.416809,69043
2015-05-12,558.500000,558.500000,533.549988,548.549988,426.622681,107257
2015-05-13,555.000000,572.950012,555.000000,565.549988,439.844147,91869
2015-05-14,565.000000,565.000000,554.400024,560.450012,435.877747,53473
2015-05-15,562.000000,565.700012,555.000000,558.099976,434.049957,42049
2015-05-18,557.000000,566.549988,557.000000,564.049988,438.677521,37951
2015-05-19,562.599976,571.200012,555.900024,565.150024,439.532990,46322
2015-05-20,568.700012,581.000000,566.349976,573.950012,446.377045,50436
2015-05-21,574.099976,585.900024,567.000000,580.250000,451.276672,79561
2015-05-22,581.000000,601.000000,580.450012,594.500000,462.359406,102609
2015-05-25,596.000000,600.000000,588.299988,591.900024,460.337280,51414
2015-05-26,591.000000,600.750000,591.000000,593.500000,461.581604,56839
2015-05-27,585.549988,595.549988,585.549988,590.049988,458.898407,85748
2015-05-28,591.500000,597.799988,590.250000,592.200012,460.570679,55570
2015-05-29,591.299988,606.549988,589.750000,596.700012,464.070343,106836
2015-06-01,594.000000,611.400024,592.799988,608.650024,473.364227,84197
2015-06-02,612.000000,614.400024,590.500000,595.750000,463.331482,186753
2015-06-03,595.750000,607.000000,542.750000,595.650024,463.253693,1588937
2015-06-04,603.000000,603.549988,583.200012,588.650024,457.809631,82984
2015-06-05,582.549988,593.500000,582.500000,584.700012,454.737701,44911
2015-06-08,580.000000,592.500000,580.000000,587.599976,456.992859,25897
2015-06-09,585.000000,588.549988,569.200012,574.000000,446.415955,31404
2015-06-10,570.000000,585.750000,568.099976,578.900024,450.226868,359435
2015-06-11,583.500000,597.299988,577.250000,579.299988,450.537933,73271
2015-06-12,578.000000,586.450012,575.049988,577.799988,449.371246,37722
2015-06-15,580.000000,585.750000,552.000000,557.200012,433.350128,39206
2015-06-16,550.000000,561.000000,543.450012,556.349976,432.688934,79912
2015-06-17,562.000000,587.099976,562.000000,581.599976,452.326630,89732
2015-06-18,586.000000,596.200012,586.000000,596.200012,463.681549,90949
2015-06-19,596.500000,606.150024,590.500000,598.000000,465.081329,85153
2015-06-22,593.099976,611.500000,593.099976,606.250000,471.497620,97407
2015-06-23,607.000000,612.000000,592.799988,598.250000,465.275879,58082
2015-06-24,598.500000,608.250000,595.000000,599.000000,465.859253,59008
2015-06-25,598.000000,611.349976,596.250000,607.200012,472.236450,91036
2015-06-26,605.000000,627.250000,596.049988,615.799988,478.924927,1916514
2015-06-29,607.000000,613.950012,583.599976,608.549988,473.286438,71714
2015-06-30,613.200012,624.599976,607.450012,622.400024,484.057892,104980
2015-07-01,621.000000,638.299988,621.000000,629.750000,489.774231,77317
2015-07-02,629.000000,673.799988,629.000000,666.049988,518.005859,249715
2015-07-03,670.299988,670.299988,650.000000,654.500000,509.023041,104324
2015-07-06,640.000000,667.500000,640.000000,662.599976,515.322571,97258
2015-07-07,659.299988,666.500000,648.500000,654.500000,509.023041,63042
2015-07-08,635.500000,652.400024,625.950012,631.500000,491.135284,79535
2015-07-09,622.000000,634.000000,617.200012,620.799988,482.813599,90016
2015-07-10,618.000000,639.599976,618.000000,631.549988,491.174133,61209
2015-07-13,636.599976,641.099976,630.500000,633.400024,492.612976,924732
2015-07-14,640.000000,650.099976,637.400024,639.250000,497.162750,235956
2015-07-15,644.000000,644.500000,626.900024,634.500000,493.468567,143535
2015-07-16,638.349976,660.000000,633.099976,656.900024,510.889618,75249
2015-07-17,657.000000,674.799988,650.450012,669.900024,521.000122,115277
2015-07-20,672.799988,681.950012,667.250000,679.099976,528.154968,68548
2015-07-21,678.200012,682.549988,658.000000,664.500000,516.800232,172575
2015-07-22,679.849976,719.700012,669.750000,713.450012,554.870178,210375
2015-07-23,717.000000,723.599976,700.500000,717.450012,557.981079,160006
2015-07-24,706.000000,738.000000,702.700012,729.349976,567.235779,116303
2015-07-27,723.000000,758.750000,716.000000,745.549988,579.835083,323748
